name,contry_origin,domain,price_category,founded,presence_world,presence_russia,presence_regions,description,plans,total_rented_area
OZON.ru,Россия,Услуги населению,Ниже среднего,1998.0,,2600 и 320 франчайзинговых,,"OZON.ru (ОЗОН.ру) — крупный российский интернет-магазин (7 место, E-Commerce Index TOP-100 2015), предоставляющий своим покупателям 4 млн позиций в 18 категориях, среди которых: электроника, бытовая техника, товары для дома и сада, товары для мам и детей, ремонт, спорт и отдых, красота и здоровье, одежда и обувь, автотовары, зоотовары, продукты питания, книги, мультимедиа, DVD, программное обеспечение, игры, музыка, антиквариат и другие. Занимает шестое место в списке самых дорогих компаний Рунета по версии российского Forbes (в феврале 2016 года журнал оценил стоимость компании в $680 млн). OZON Доставка управляет крупнейшей сетью пунктов выдачи заказов по всей территории РФ: 2600 пунктов выдачи и почтоматов, 400 городов России. OZON Доставка продолжает развитие сети в регионах России. Мы готовы рассмотреть офис или помещение магазина Вашей компании в качестве пункта выдачи заказов.",1500.0,
O`Sofi,Россия,Аксессуары,Средний,,25,25,Москва,"O`Sofi - молодая торговая сеть женских головных уборов и аксессуаров. Сеть O`Sofi представлена 25 точками в торговых центрах Москвы и Подмосковья. O`Sofi поможет тебе легко и быстро оказаться самой трендовой в компании или изящно нести романтичный образ дивы, предпочитающей классику. O`Sofi укроет тебя от назойливых солнечных лучей в июле и согреем в зябкие ноябрьские вечера — выбирай свою фактуру и цвет.",,
O`НАRA,Россия,Одежда,Средний; Выше среднего,2000.0,31,31,Екатеринбург; Ижевск; Казань; Кемерово; Красноярск; Ленинск-Кузнецкий; Междуреченск; Набережные Челны; Надым; Нефтеюганск; Нижний Новгород; Новокузнецк; Новосибирск; Новый Уренгой; Ноябрьск; Нягань; Омск; Пермь; Томск; Ярославль,"Компания O`НАRA — сеть специализированных магазинов верхней одежды, работающая на российском рынке более 15 лет. В настоящий момент сеть насчитывает 60 магазинов в 29 городах России. Компания развивает два бренда — O`HARA. В магазинах O`HARA постоянно представлена разнообразная коллекция пуховых пальто и курток для взрослых, а также пуховые костюмы, куртки и комбинезоны для детей. Кроме того, в ассортименте представлена отдельная капсула «макси» — женские и мужские пуховики больших (до 64-го) размеров. Таким образом, ассортимент интересен для покупателей любого возраста и комплекции. При производстве пуховиков, представленных в наших магазинах, используются только натуральный гусиный пух, современные высококачественные ткани и надежная фурнитура.",,
O’STIN,Россия,Одежда,Средний,2003.0,650,550,Москва; Санкт-Петербург; Абакан; Альметьевск; Анапа; Ангарск; Арзамас; Армавир; Архангельск; Астрахань; Ачинск; Балаково; Балашиха; Барнаул; Батайск; Белгород; Березники; Бийск; Благовещенск; Братск; Брянск; Великие Луки; Великий Новгород; Владивосток; Владикавказ; Владимир; Волгоград; Волгодонск; Волжский; Вологда; Воронеж; Глазов; Грозный; Дзержинск; Димитровград; Домодедово; Егорьевск; Екатеринбург; Ессентуки; Железногорск; Железнодорожный; Жуковский; Зеленогорск; Зеленоград; Златоуст; Иваново; Ижевск; Иркутск; Йошкар-Ола; Казань; Калининград; Калуга; Каменск-Уральский; Кемерово; Киров; Кисловодск; Клин; Ковров; Коломна; Комсомольск-на-Амуре; Копейск; Королев; Кострома; Красногорск; Краснодар; Красноярск; Курск; Лесосибирск; Липецк; Люберцы; Магнитогорск; Махачкала; Миасс; Мытищи; Набережные Челны; Находка; Нефтеюганск; Нижневартовск; Нижнекамск; Нижний Новгород; Нижний Тагил; Новокузнецк; Новокуйбышевск; Новомосковск; Новороссийск; Новосибирск; Новотроицк; Новочебоксарск; Ногинск; Ноябрьск; Обнинск; Октябрьский; Омск; Орел; Оренбург; Орехово-Зуево; Орск; Пенза; Пермь; Петрозаводск; Петропавловск-Камчатский; Подольск; Прокопьевск; Псков; Пушкино; Пятигорск; Реутов; Ростов-на-Дону; Рыбинск; Рязань; Салават; Самара; Саранск; Саратов; Северодвинск; Северск; Сергиев Посад; Серпухов; Смоленск; Сочи; Ставрополь; Старый Оскол; Стерлитамак; Ступино; Сургут; Сызрань; Сыктывкар; Таганрог; Тамбов; Тверь; Тобольск; Тольятти; Томск; Туапсе; Тула; Тюмень; Улан-Удэ; Ульяновск; Уссурийск; Уфа; Ухта; Хабаровск; Химки; Чебоксары; Челябинск; Череповец; Черкесск; Чита; Шахты; Щелково; Электросталь; Элиста; Энгельс; Южно-Сахалинск; Якутск; Ярославль,"O'STIN – это розничная сеть магазинов, предлагающих мужскую, женскую и молодежную одежду и аксессуары среднего ценового диапазона под торговыми марками O'Stin Casual, O'Stin Studio, O'Stin Woman и O'stin Man. Ценности ТМ O'STIN Простота Одежда не должна ""кричать"" и скрывать за собой индивидуальность человека. Коллекции O'STIN состоят из простых, современных моделей, которые можно легко сочетать друг с другом. Наша одежда проста и понятна, она находит отклик у открытых и уверенных в себе людей. Комфорт Современный человек хочет чувствовать себя комфортно во всех ситуациях. В одежде O'STIN используются преимущественно натуральные, мягкие материалы и свободный крой. Она не сковывает движения, не требует тщательного ухода. Она всегда удобна и практична. Универсальность В ритме современной жизни особенно ценится одежда, которую можно использовать в разных ситуациях и для разных целей. В офисе, в свободное время, на отдыхе. Конструктивные детали одежды O'STIN продуманы и функциональны. Современность Несмотря на внешнюю простоту, одежда O'STIN всегда современна и актуальна. При разработке коллекций дизайнеры используют современные тенденции в дизайне и материалах. Компания O’STIN является одним из лидеров динамично развивающегося российского рынка одежды. Бренд O’STIN не только входит в TOP – 5 самых известных одежных брендов России, но и является одним из самых любимых среди россиян, поэтому магазины O’STIN создают поток покупателей в торговые центры. O’STIN – надежный арендатор. Мы выполняем взятые на себя обязательства, учитываем интересы партнеров и всегда настроены на поддержание деловых и дружеских отношений. Компания не работает по схеме франчайзинга. Более 650 магазинов O’STIN уже открыты более чем в 250 городах России, Украины, Казахстана и Республики Беларусь! Темпы развития торговой сети O’STIN значительно превышают среднерыночные показатели. Дизайн и архитектура магазинов O’STIN разработаны одним из лучших европейских архитектурных бюро Blocher Blocher Partner, поэтому они так удобны и привлекательны для покупателей. Концепция развития розничной сети O’STIN. O’STIN расширяет географию городов присутствия. Мы открываем магазины от Калининграда до Дальнего Востока! Требование к городам РФ - население от 50 тыс. жителей. Для Украины, Казахстана и Республики Беларусь рассматриваем помещения в городах с населением от 100 тыс. жителей.",,
Paese,Польша,Парфюмерия и Косметика,Выше среднего,2015.0,,,Санкт-Петербург; Абакан; Астрахань; Барнаул; Брянск; Владивосток; Владикавказ; Владимир; Вологда; Казань; Кемерово; Киров; Краснодар; Красноярск; Курган; Курск; Магнитогорск; Новокузнецк; Новосибирск; Оренбург; Пенза; Пермь; Ростов-на-Дону; Самара; Саратов; Севастополь; Симферополь ; Тамбов; Тольятти; Томск; Тюмень; Ульяновск; Уфа; Челябинск; Чита; Южно-Сахалинск; Якутск,"Paese — известный в мире польский бренд профессиональной декоративной косметики. Он является одним из лучших европейских брендов профессиональной косметики по соотношению цена-качество. Вся косметика Paese производится в Польше, Германии, Италии, Испании. В переводе с итальянского «paese» — «страна», страна красоты и выразительности. Инновационность и стиль — отличительные черты бренда, признанные профессиональными визажистами во всем мире. Отслеживая последние тенденции в мировой индустрии красоты, Paese предлагает самые актуальные оттенки и средства, внедряет косметические инновации.",,
Pal Zileri,Италия,Одежда,Люкс / Премиум,1970.0,,5,Москва; Санкт-Петербург,"Pal Zileri - это деловые и торжественные костюмы, смокинги, кажуальная одежда, парфюмерия и аксессуары для мужчин. При этом стоимость варьирует в пределах 800-1200 у.е. Компания Pal Zileri основана в 1970 году в Италии крупнейшим предприятием «Gruppo Forall» и сейчас входит в число наиболее известных производителей классической мужской одежды. Одежда брэнда продаются сейчас в 87 странах мира. В России компания развивается с 2003 года через московскую сеть ""Калигула"". Основные линии: -Pal Zileri Cerimonia «белая этикетка» для торжественных случаев -Pal Zileri Lab для активного образа жизни -Pal Zileri Sartoriale и su Misura – индивидуальный пошив для самых требовательных клиентов Продукция Forall соответствeует самым высоким стандартам рынка одежды и отличается творческим содержанием. Безупречный крой, богатая цветовая гамма, ткани концернов «Cerutti», «Zegna», «Redo», используемые для производства одежды, по праву ставят Pal Zileri в группу категории люкс.",,
PALETA,Россия,Сладости и Шоколад,Средний; Выше среднего,2015.0,,30,,"«PALETA» – это первая компания в России в сегменте замороженных десертов и мороженого, которая производит продуктцию на основе: - сезонных фруктов и ягод, как хурма, земляника или арбуз - локальных сибирских ягод и трав, как вороника или морошка - уникальных продуктов, как вино, личи, донник или лепестки розы ЧЕМ МЫ ВЫГОДНЫ ДЛЯ ТРЦ? “PALETA” - это: - Надежный арендатор - Качественный маркетинг - Актуальный дизайн торговой точки ""PALETA"" - ЭТО НАДЕЖНЫЙ И СТАБИЛЬНЫЙ АРЕНДАТОР - Гарантированная востребованность продукции - Гибкость и актуальности ассортимента - Цена доступная каждому посетителю ТРЦ - Высокий уровень стандартизации качества ""PALETA"" - ПРИВЛЕЧЕНИЕ ТРАФИКА И ПОВЫШЕНИЕ ЛОЯЛЬНОСТИ ПОСЕТИТЕЛЕЙ ТРЦ - Pro-Активный маркетинг - Всегда качественное промо Активная и систематическая работа над привлечением дополнительного трафика и повышением лояльности существующих посетителей ТРЦ – прямое следствие качественного, глубоко проработанного маркетинга нашей компании. ""PALETA"" - ЭТО УНИКАЛЬНЫЙ ДИЗАЙН ТОРГОВОЙ ТОЧКИ В СТИЛЕ САМЫХ АКТУАЛЬНЫХ ТРЕНДОВ - Повышение визуальной привлекательности ТРЦ - Гармония с дизайном международныйх брендов",20.0,
Palmetta,Россия,Одежда,Средний,1993.0,,150,Москва; Санкт-Петербург; Альметьевск; Балаково; Барнаул; Братск; Волгоград; Воскресенск; Екатеринбург; Ижевск; Иркутск; Йошкар-Ола; Казань; Каменск-Уральский; Кемерово; Краснодар; Красноярск; Курск; Магнитогорск; Набережные Челны; Нижневартовск; Нижний Новгород; Нижний Тагил; Новокузнецк; Новосибирск; Омск; Пенза; Первоуральск; Пермь; Пятигорск; Ростов-на-Дону; Рязань; Самара; Саратов; Сызрань; Тольятти; Тюмень; Ульяновск; Чебоксары; Челябинск; Энгельс; Якутск; Ярославль,"Компания «Пальметта» занимает одну из лидирующих позиций на рынке женского нижнего белья в России. Отличительной чертой, которой мы по праву гордимся, является высочайшее качество продукции, созданной по новейшим дизайнерским и конструкторским разработкам.  Компания «Пальметта» производит женское белье трех торговых марок: ""Palmetta"", ""millena"" и ""Grandissima"". Эти марки включают в себя как базовые коллекции, так и fashion-коллекции, которые, обновляясь еженедельно, приобретают все большее число поклонниц среди российских женщин. Отвечая на запросы наших покупателей, в 2010 году линейка продукции, выпускаемой компанией, пополнилась первой коллекцией купальников ""Palmetta Mare"".  Компания «Пальметта» развивает сеть фирменных салонов женского нижнего белья. На данный момент она насчитывает 150 магазинов в 50 городах России. Одним из важнейших принципов работы салонов Palmetta является индивидуальный подход к каждому покупателю.",,
Panda Express,США,"Кафе, ресторан",Средний,1983.0,,4,Москва; Зеленоград; Химки,"С момента открытия в 1983 году первого ресторана Panda Express в Глендейле, штат Калифорния, наша семья черпает вдохновение в объединении людей в одном месте и предоставлении им возможности делиться своими радостями. Сейчас мы продолжаем открывать рестораны по всему миру. Нас вдохновляют насыщенные вкусы китайской кухни, а наша дружная семья гостей и сотрудников мотивирует нас двигаться дальше и развивать свое дело. Добро пожаловать в уголок нашей семейной китайской кухни.",,
Pandora,"Дания, Копенгаген",Ювелирные магазины,Выше среднего,1982.0,10300,113,Москва; Санкт-Петербург; Екатеринбург; Казань; Калининград; Кемерово; Киров; Королев; Красногорск; Курск; Липецк; Махачкала; Мурманск; Нижний Новгород; Нижний Тагил; Новокузнецк; Новосибирск; Ногинск; Одинцово; Павловский Посад; Петрозаводск; Пушкино; Самара; Саратов; Смоленск; Сочи; Ставрополь; Сыктывкар; Таганрог; Тула; Тюмень; Ульяновск; Уфа; Хабаровск; Химки; Чебоксары; Челябинск; Щербинка; Якутск; Ярославль,"Проект Pandora - это удивительное сочетание роскоши и доступности. Процесс изготовления ручной работы украшений тм Pandora сочетает в себе современные технологии производства, традиции ручного ювелирного мастерства, использование драгоценных металлов за доступные цены. Драгоценности Pandora представлены больше чем в 70 странах мира на шести континентах, более чем в 10 300 торговых точках, включая приблизительно собственных 900 магазинов. Копания Pandora основанна в 1982 году в Копенгагене (Дания). Сейчас компания Pandora может похвастаться командой более чем из 6000 человек во всем мире, из которых 4000 расположены в Таиланд, где компания производит свои драгоценности. Pandora публично перечислена на NASDAQ OMX (Копенгагенская фондовая биржа в Дании). В 2012 общий доход Pandora был 6.7 миллиардов (приблизительно 893 миллиона ЕВРО).",,
Paolo Conte,Россия,Обувь,Средний; Выше среднего,2001.0,,80 и 44 франчайзинговых,Москва; Санкт-Петербург; Абакан; Анапа; Армавир; Белгород; Березники; Брянск; Владивосток; Владикавказ; Вологда; Воронеж; Грозный; Екатеринбург; Ижевск; Иркутск; Казань; Калуга; Киров; Коломна; Краснодар; Красноярск; Курск; Липецк; Магнитогорск; Нижневартовск; Нижний Новгород; Новороссийск; Новосибирск; Омск; Орел; Пермь; Петропавловск-Камчатский; Рязань; Самара; Саранск; Саратов; Сергиев Посад; Ставрополь; Сургут; Таганрог; Тверь; Тула; Тюмень; Уфа; Хабаровск; Чебоксары; Челябинск; Череповец; Южно-Сахалинск,"Paolo Conte - модный бренд обуви и аксессуаров, ярко заявляющий об уникальности и неповторимости Вашего образа. Коллекции Paolo Conte - это отражение мировых модных тенденций с использованием новейших технологий и натуральных материалов. Эксклюзивный дизайн, изящность линий и безупречное исполнение. Paolo Conte. Подчеркните достоинства вкусом. Наши преимущества: 1.Команда талантливых дизайнеров, ежедневно работающих над созданием оригинального продукта на российском fashion-рынке  2.Широкий ассортимент, представленный женской и мужской коллекцией обуви, а также линией стильных аксессуаров  3.Полное сезонное обновление модельного ряда с использованием исключительно натуральных материалов и удобных колодок  4.Доступное ценовое предложение и только самые выгодные бонусы для постоянных покупателей 5.Комфорт и практичность каждой модели в модном тандеме с изящными силуэтами и оригинальными декором",3.0,
PAPA GRILL,Россия,"Кафе, ресторан",Средний,2013.0,,5 и 113 франчайзинговых,Москва; Санкт-Петербург; Волгоград; Иркутск; Королев; Курск; Липецк; Махачкала; Надым; Нижневартовск; Псков; Самара; Севастополь; Сергиев Посад; Симферополь ; Сыктывкар; Тюмень; Ханты-Мансийск; Элиста; Ялта,"Сеть PAPA GRILL работает больше 6 лет. За 4 года на рынке франшиз, компания открыли более 120 торговых точек в 4-х странах мира. Точку продаж можно открыть в любом в формате. Это может быть маленький островок в торговом центре, полноценное кафе с посадочными местами и расширенным меню или уличный павильон от 6 до 20 квадратных метров.",,
Parfum Bar,Германия,Парфюмерия и Косметика,Выше среднего,2009.0,,3 и 30 франчайзинговых,Москва; Санкт-Петербург; Архангельск; Барнаул; Брянск; Владивосток; Волгоград; Екатеринбург; Кемерово; Кострома; Краснодар; Липецк; Нальчик; Новосибирск; Оренбург; Пермь; Петропавловск-Камчатский; Северодвинск; Тверь; Томск; Тюмень; Уфа; Череповец,"Parfum Bar® - результат многолетнего совместного сотрудничества талантливых парфюмеров, психологов, социологов и программистов из разных стран Европы. Это уникальная инновационная электронная система подбора аромата, которая подбирает аромат с учетом Ваших предпочтений, личных качеств, стиля, настроения и обстоятельств, в которых Вы планируете его использовать. Продукция Parfum Bar® - высококачественная парфюмерная (Eau de PARFUME) вода, изготовленная на основе натуральных эфирных масел, поэтому ароматы Parfum Bar® раскрываются очень индивидуально. Функции Parfum Bar® не ограничиваются только лишь индивидуальным подбором аромата «для себя». В системе реализована функция подбора аромата в подарок, а также покупатель может подобрать аромат, основываясь на своих ароматических предпочтениях или исходя из ситуации его применения. Система Parfum Bar® путем инновационных разработок в подборе аромата и технологии продаж, сводит к минимуму временные, физические и моральные затраты покупателя. Выбор аромата, в итоге, становится легким и приятным делом. Parfum Bar® - новый проект германской компании BC International Trading GmbH, работающей на мировом парфюмерно-косметическом рынке более 30 лет. Это современное предприятие, оснащенное новейшим оборудованием, позволяющим производить парфюмерную и косметическую продукцию, отвечающую самым строгим международным стандартам качества. Продукция проходит токсикологическое, клиническое и микробиологическое тестирование и соответствует международным стандартам качества GMP.",,
Parikmag & Pharmamag,Россия,Парфюмерия и Косметика,Средний; Выше среднего,2013.0,19,19,Москва; Астрахань; Волгоград; Пенза; Самара; Саранск; Саратов,"Сеть профессиональной косметики и парафармации Parikmag & Pharmamag - динамично развивающийся бренд нового формата. В одном месте можно купить не только лечебный крем для лица, очищающее средство, но и профессиональный шампунь или лечение для волос. Брашинги, фены, крема для аллергиков, серия для детей без парабенов и SLS, краска для волос, гели для душа на натуральной основе и средства от солнца - абсолютно все есть в наших магазинах. Новый формат магазина - all in one (аптека и магазин в одном месте).",,
Parle Market,Россия,"Кафе, ресторан",Средний,2012.0,35,1 и 34 франчайзинговых,Москва; Санкт-Петербург; Астрахань; Барнаул; Владивосток; Волгоград; Воронеж; Екатеринбург; Ижевск; Иркутск; Казань; Кемерово; Киров; Краснодар; Красноярск; Липецк; Махачкала; Набережные Челны; Новокузнецк; Новосибирск; Омск; Оренбург; Пенза; Пермь; Ростов-на-Дону; Рязань; Самара; Саратов; Сочи; Тольятти; Томск; Тюмень; Ульяновск; Уфа; Хабаровск; Челябинск; Ярославль,"Parle Market-это сеть прибыльных мини-маркетов. Огромный ассортимент на небольшой площади. Более 3000 SKU. PARLE CAFÉ – кофейный бренд в востребованном формате «Кофе с собой», успешно работающий на рынке уже 6 лет. PARLE CAFÉ – это устойчивая к изменениям рынка прибыльная модель франшизы, отточенная годами успешной работы. В дополнении к лучшим кофейным блендам в сети предусмотрен тщательно проработанный сопутствующий ассортимент, повышающий рентабельность.",,
PARRA,Литва,Мебель,Средний; Выше среднего,2009.0,,43,Москва; Санкт-Петербург; Владивосток; Владикавказ; Екатеринбург; Ижевск; Казань; Краснодар; Красноярск; Нижний Новгород; Новосибирск; Пермь; Петрозаводск; Пятигорск; Ростов-на-Дону; Севастополь; Симферополь ; Тула; Уфа; Химки; Челябинск; Ярославль,"Торговая марка PARRA - европейский бренд мебели для дома, разработанный специально для концерна «SBA». Концерн «SBA» – одна из крупнейших компаний Литвы, которая объединяет 27 предприятий, осуществляющих свою деятельность в Литве и за рубежом. Последовательные инвестиции в инновационные решения, а также творческий потенциал и профессионализм работников уже в течение многих лет позволяет концерну работать прибыльно. Более 90% продукции, изготовленной компаниями, которые принадлежат концерну «SBA», экспортируется в 40 стран мира.  Вся продукция изготавливается на предприятиях концерна в России и странах Европы по стандартам, принятым в Евросоюзе. Корпусная мебель торговой марки PARRA производится российским предприятием ЗАО «Ново Мебель» входящего в состав мебельной группы «SBA». Мебель PARRA производится сочетая современные механизированные мощности и кропотливую ручную работу. Именно это позволяет достигнуть особого качества и изысканности линий, невозможных при машинной обработке. Серийное производство корпусной мебели, фанерованной натуральным шпоном, происходит на современных станках известных немецких, итальянских производителей: VITAP, SCM, BIESSE, SORBINI, GIARDINA, CEFLA (Италия) и HOLZMA, HOMAG, IMA, KUPER. Производственные площади составляют 13 000 кв.м. и позволяют производить до 120 000 кв. м продукции в год.  Фирменная сеть мебельных салонов PARRA развивается в России с 2009 года и на сегодняшний день насчитывает 43 фирменных салона в 33 городах России. Объем продаж продукции компании через фирменную сеть ежегодно удваивается.",,
PARURE,Япония,Аксессуары,Средний,2011.0,,4 и 2 франчайзинговых,Санкт-Петербург,"PARURE – новый российский бренд. PARURE – это сеть магазинов ювелирных украшений из серебра, медицинской стали 316L, муранского стекла и перламутра. Украшения от ПАРЮР создаются по эскизам лучших дизайнеров и воплощаются в жизнь при помощи современных высокоточных технологий. Каждое изделие проходит трехступенчатую проверку качества. Компания существует на рынке с 2011 года, мы начинали с продажи стальных украшений бренда INORI. Сейчас мы добавили коллекции Итальянского серебра, муранского стекла и художественную роспись по перламутру российских мастеров.",,
Paul&Shark,Италия,Одежда,Люкс / Премиум,1977.0,,25,Москва; Санкт-Петербург; Барнаул; Екатеринбург; Иркутск; Казань; Краснодар; Красноярск; Новороссийск; Новосибирск; Омск; Пермь; Ростов-на-Дону; Рязань; Самара; Симферополь ; Ставрополь; Тверь; Тюмень; Хабаровск; Челябинск,"Paul&Shark (от англ. «Пол и Акула») — итальянский бренд, выпускает спортивную одежду для путешествий на яхте и игры в гольф. Отличительная черта – высочайшее качество выпускаемой продукции. В 1977 году марка Paul&Shark была зарегистрирована в Италии. Главным направлением в своей работе Жан Дини и его сын избрали морской стиль одежды, как нельзя лучше подходящий для занятий яхтингом. В том же 1977 году фирма Paul&Shark становится официальным спонсором международных соревнований по парусному спорту. Теперь каждый яхтсмен посчитал своим долгом носить одежду бренда – она стала престижной и популярной. Визитной карточкой бренда стали куртки из «дышащих» тканей, которые не пропускали воду и ультрафиолет. В дизайнерском отношении Paul&Shark тоже никогда не стоял на месте. Он, конечно, использует привычные цветовые сочетания морского стиля – синий, белый и красный. Однако дизайнеры используют множество необычных оттенков и ставят разнообразные цветовые эксперименты. Например, некоторые футболки Paul&Shark имеют цветовые гаммы известных произведений живописи. Paul & Shark особое внимание уделяет и дизайну своих фирменных магазинов. В каждом из них можно увидеть неизменный символ морского бренда – штурвал, а интерьер в целом напоминает каюту корабля, отделанную деревом. В России бутики бренда Paul & Shark отрыты в Москве, Ростове, Перми, Новосибирске и Екатеринбурге, Рязани. Одежда Paul & Shark привлекает не только любителей активного аристократического отдыха, такого как яхтинг, гольф или полеты на маленьком самолете, но и тех, кому просто по душе стиль casual.",,
Pedant.ru,Россия,Услуги населению,Средний,2013.0,,,Москва; Санкт-Петербург; Абакан; Анапа; Армавир; Архангельск; Астрахань; Балаково; Барнаул; Батайск; Белгород; Благовещенск; Братск; Брянск; Великий Новгород; Владикавказ; Владимир; Волгоград; Волгодонск; Волжский; Вологда; Воронеж; Выборг; Геленджик; Екатеринбург; Жуковский; Иваново; Ижевск; Иркутск; Казань; Калуга; Каменск-Уральский; Кемерово; Киров; Копейск; Королев; Кострома; Краснодар; Красноярск; Курган; Курск; Липецк; Люберцы; Магнитогорск; Миасс; Мурманск; Мытищи; Нефтекамск; Нижневартовск; Нижнекамск; Новокузнецк; Новомосковск; Новороссийск; Новосибирск; Новоуральск; Новочеркасск; Новый Уренгой; Ногинск; Норильск; Ноябрьск; Обнинск; Омск; Орел; Оренбург; Пенза; Пермь; Петрозаводск; Псков; Пушкино; Реутов; Ростов-на-Дону; Рыбинск; Салават; Самара; Саранск; Саратов; Северодвинск; Северск; Смоленск; Сочи; Ставрополь; Стерлитамак; Сургут; Сыктывкар; Таганрог; Тамбов; Тверь; Тобольск; Тольятти; Томск; Тула; Тюмень; Улан-Удэ; Ульяновск; Уссурийск; Уфа; Хабаровск; Чебоксары; Челябинск; Череповец; Шахты; Щелково; Щербинка; Энгельс; Южно-Сахалинск; Якутск; Ярославль,Pedant.ru - крупнейшая сервисная сеть по ремонту смартфонов в России. Сеть работает с 2013 года. Pedant.ru развивается по системе франчайзинга. Сервисные центры открыты в 122 городах.,,
PEGAS Touristik ,Россия,"Туризм, путешествия",Средний,2010.0,570,570,Москва; Санкт-Петербург; Абакан; Александров; Альметьевск; Анапа; Ангарск; Армавир; Артем; Архангельск; Ачинск; Балаково; Балашиха; Барнаул; Белгород; Белорецк; Бийск; Биробиджан; Благовещенск; Бор; Братск; Бузулук; Великий Новгород; Владивосток; Владимир; Волгоград; Волжский; Воронеж; Дзержинск; Димитровград; Екатеринбург; Ессентуки; Железнодорожный; Жуковский; Зеленоград; Ижевск; Иркутск; Искитим; Йошкар-Ола; Казань; Калининград; Калуга; Камышин; Кемерово; Киров; Кисловодск; Королев; Красногорск; Краснодар; Красноярск; Кызыл; Ленинск-Кузнецкий; Лесосибирск; Магнитогорск; Майкоп; Махачкала; Междуреченск; Минеральные Воды; Мончегорск; Мурманск; Мытищи; Набережные Челны; Назрань; Нальчик; Находка; Нефтеюганск; Нижневартовск; Нижнекамск; Нижний Новгород; Нижний Тагил; Новокузнецк; Новомосковск; Новороссийск; Новосибирск; Новотроицк; Ногинск; Нягань; Обнинск; Одинцово; Омск; Оренбург; Орск; Пенза; Пермь; Петрозаводск; Петропавловск-Камчатский; Подольск; Псков; Пятигорск; Раменское; Салават; Самара; Саранск; Саратов; Северодвинск; Сергиев Посад; Серпухов; Симферополь ; Сочи; Ставрополь; Старый Оскол; Сургут; Сыктывкар; Тамбов; Тверь; Тольятти; Томск; Троицк; Тула; Тюмень; Улан-Удэ; Ульяновск; Уссурийск; Уфа; Фрязино; Хабаровск; Химки; Чайковский; Чебоксары; Челябинск; Шахты; Щелково; Энгельс; Южно-Сахалинск; Якутск; Ярославль,"PEGAS Touristik - один из лидеров российской туристической отрасли и одна из крупнейших международных туристических компаний. История компании началась в последней четверти ХХ века. PEGAS Touristik сегодня – это современная универсальная туристическая компания, которая предлагает широкий спектр услуг для всех групп клиентов, активно участвует в социальной и экономической жизни страны. Компания отправляет на отдых из 50 городов РФ; Предлагает отдых на лучших курортах и отелях (2500 отелей) в 22 странах мира; Работает с ведущими авиакомпаниями России; Организует групповые, индивидуальные, корпоративные, спортивные и VIP туры Предлагает 7 дней в неделю, 24 часа в сутки онлайн заказ туров и билетов на регулярные рейсы по всему миру как аккредитованный агент IATA; Оказывает качественное обслуживание в более чем 820 фирменных офисах продаж в 256 городах.",,
