name,contry_origin,domain,price_category,founded,presence_world,presence_russia,presence_regions,description,plans,total_rented_area
16DEN,Россия,Одежда,Средний,2008.0,,10,Оренбург,"16DEN – сеть мультибрендовых магазинов нижнего белья и колготок в Оренбурге. 10 розничных магазинов, расположенных в разных частях города для удобства покупателей. 16DEN более 10 лет на рынке. За это время мы изучили предпочтения наших покупателей и формируем  ассортимент, стараясь соответствовать потребностям. Мы работаем с ведущими и проверенными марками нижнего белья, колготок, домашнего и верхнего трикотажа. В 16DEN представлен женский, мужской и детский ассортимент. Магазины поддерживают широкий размерный ряд, учитывая особенности фигуры женщин. Представлены полнотные размеры бюстгалтеров. Основные направления: - женское, мужское и подростковое нижнее белье - колготки, чулки, носки - белье для будущих и кормящих мам - купальники и одежда для пляжа - домашний трикотаж (сорочки, пижамы, домашняя одежда) - шелковое белье (сорочки, пеньюары, халаты, пижамы) - корректирующее белье -термобелье -спортивное белье - эротическое белье - верхний трикотаж (блузы, футболки, джемпера, жакеты, брюки, платья, кардиганы и т.д.) - детский трикотаж (0-10 лет) - полотенца",3.0,
1811 Eighteen One One,Россия,Одежда,Средний; Выше среднего,2017.0,,5,Москва; Одинцово,"Марка 1811 Eighteen One One представляет собой микс современной классики и комфортного функционализма на каждый день для девушек и женщин большого города. Это качественная одежда в сегменте middle & up. Девушка 1811 Eighteen One One — это женственная муза вне возраста и времени. Красивая и утонченная она несет благородство и стиль в своем образе. Ее легко можно было бы представить в роли жены президента, а также творческой дивой, выходящей на красную ковровую дорожку или в кабриолете на набережной Монако, где еще недавно проезжала Грейс Келли. Когда мы говорим об образе девушки в стиле 1811 Eghteen One One, мы представляем ее себе именно так. Своим стилем марка пропагандирует женственность во всех ее проявлениях. Бренд осуждает массовые, культурные и возрастные предрассудки и не поддерживает тенденции, которые со стечением времени не переходят в ценности. 1811 Eighteen One One, сегодня — это не только одежда, но и философия жизненного стиля, несущего в себе красоту и благородство, начинающиеся с внешнего облика нашей героини и заканчивая ее мышлением. Для своих новых линий бренд планирует продолжать работать со стилем современной классики, создавая новые модели, которые будут по вкусу многомиллионной российской аудитории. Сегодня для 1811 Eighteen One One важно то, как вы будете выглядеть завтра, потому что замечательные мысли, развитие культуры и проявление человеческих добродетелей в современном мире очень зависит от внешнего облика людей, которые несут эти ценности.",,
1b.ru,Россия,Парфюмерия и Косметика,Ниже среднего,,4,4,Балаково; Саратов; Энгельс,"1b.ru – новый формат и новое поколение магазинов красоты и здоровья.  Большой выбор элитной парфюмерии и косметики, все для красоты и ухода за собой, для уюта в доме, а также лекарства и медицинские товары для всей семьи – в максимально комфортном и удобном сочетании.  Уникальная атмосфера магазинов 1b.ru, неизменный принцип выгодных цен на все товары, новинки и лучшие предложения для тех, кто уделяет внимание красоте и уходу за собой.",,
1С Интерес,Россия,Хобби и увлечения,Средний,2003.0,,40 и 3 франчайзинговых,Москва; Санкт-Петербург; Волжский; Воронеж; Казань; Калуга; Краснодар; Красноярск; Курган; Курск; Нижний Новгород; Новосибирск; Омск; Ростов-на-Дону; Самара; Стерлитамак; Сургут; Тюмень; Уфа; Якутск; Ярославль,"В 2003 году фирма «1С» создала свой первый розничный магазин в Москве по продаже программного обеспечения и компьютерных игр. Оборот всех торговых точек в 2003 году составлял 250 тысяч долларов. В 2005 году открыты первые региональные магазины – в Санкт-Петербурге, Тюмени, Уфе, Казани и Самаре. В 2007 году был придуман бренд «1С Интерес», разработанный как самое очевидное место покупок программного обеспечения и компьютерных игр. Был изменен дизайн магазинов, введены новые товарные группы. Символом обновленной сети «1С Интерес» стал интерробанг – знак, совмещающий в себе одновременно вопрос и ответ. С 2007 года магазины «1С Интерес» это, прежде всего цифровые развлечения и обучающее программное обеспечение для всей семьи. В 2009 году заработал сайт сети и интернет-магазин «1С Интерес». В том же году были запущены продажи цифрового контента. 2009–2010 годы – годы интенсивного и экстенсивного развития сети. Открытие флагманских магазинов в ТРК МЕГА как в Москве, так и в регионах. В 2012 году «1С Интерес» – это 43 мультимедийных магазина на территории Российской Федерации. В магазинах «1С Интерес» отражено стремление подчеркнуть и учесть индивидуальность каждого посетителя и в тоже время объединить интересы посетителей разных возрастов и социальных групп. Яркий дизайн магазинов создает хорошее настроение, а внимательный персонал обеспечивает квалифицированную помощь покупателям. Философия торговой сети – в жизни всегда есть время развлечениям и хобби.",3.0,3514
1С:БухОбслуживание,Россия,Услуги для бизнеса (b2b),Средний,1991.0,687,20 и 917 франчайзинговых,,"«1С:БухОбслуживание» — это сеть партнеров фирмы «1С», оказывающих бухгалтерские, налоговые и кадровые услуги малому бизнесу по единому стандарту, разработанному «1С». На протяжении последних нескольких лет рынок бухгалтерских аутсорсинговых услуг в России активно растет, что создало предпосылки для повышения требований к качеству оказываемых услуг. Выводим бухгалтерский учет на новый уровень! «1С» — лидер на рынке бухгалтерского софта. Несем полную ответственность за результат Наши партнеры работают по единому стандарту обслуживания от «1С» Гарантируем прозрачное ценообразование Подстраиваемся под потребности вашего бизнеса В нашей сети уже 630 партнеров в 210 городах Данные хранятся на защищенных серверах",,
1хСтавка,Россия,Ставки и лотереи,Средний,2009.0,,500,Москва; Санкт-Петербург; Армавир; Артем; Архангельск; Астрахань; Балаково; Балашиха; Барнаул; Белгород; Белогорск; Бийск; Биробиджан; Благовещенск; Борисоглебск; Брянск; Великий Новгород; Видное; Владивосток; Владимир; Волгоград; Волжский; Воронеж; Всеволожск; Выборг; Гатчина; Геленджик; Глазов; Губкин; Дербент; Дмитров; Долгопрудный; Дятьково; Егорьевск; Екатеринбург; Железногорск; Жигулевск; Зеленоград; Иваново; Ижевск; Йошкар-Ола; Казань; Калининград; Камышин; Кемерово; Киров; Клинцы; Коломна; Колпино; Королев; Кострома; Красногорск; Краснодар; Красноярск; Курск; Липецк; Люберцы; Магадан; Магнитогорск; Майкоп; Махачкала; Можайск; Мончегорск; Мурманск; Мытищи; Набережные Челны; Нальчик; Находка; Нижневартовск; Нижний Новгород; Новокуйбышевск; Новомосковск; Новосибирск; Ногинск; Норильск; Одинцово; Омск; Орел; Орехово-Зуево; Павловский Посад; Пенза; Первоуральск; Пермь; Петрозаводск; Петропавловск-Камчатский; Подольск; Реутов; Самара; Саранск; Саратов; Симферополь ; Смоленск; Сочи; Ставрополь; Старый Оскол; Сызрань; Тверь; Тольятти; Томск; Тула; Тюмень; Улан-Удэ; Ульяновск; Уссурийск; Уфа; Ухта; Хабаровск; Химки; Челябинск; Черкесск; Чита; Щелково; Элиста; Энгельс; Южно-Сахалинск; Якутск; Ярославль,"БК «1хСтавка» — инновационная российская букмекерская компания, оказывающая услуги на основании лицензии № 17 ФНС РФ, выданной 1 октября 2010 года. БК «1хСтавка» предлагает любителям спорта и активным болельщикам качественно новый уровень сервиса, а также огромный выбор разнообразных событий. ДЕЯТЕЛЬНОСТЬ КОМПАНИИ Деятельность компании направлена на поддержку отечественного спорта и создание новой сферы развлечений. Такой подход к развитию и сервису позволил компании стать главным лидером на рынке букмекерских услуг в России.",,
21Shop,Россия,Одежда,Средний,2001.0,13,12,Москва; Санкт-Петербург; Вологда; Петропавловск-Камчатский; Рязань; Тверь,"21Shop – это один из первых российских магазинов, ориентированных на streetwear сегмент. На протяжении более чем пятнадцати лет, компания стремится к постоянному развитию, привозим новые бренды, открывает магазины и старается обеспечить лучший сервис. Но самое главное заключается в том, что компания не изменяет своим корням и старается становится лучше с каждым днём. Магазины 21Shop находятся в нескольких, самых важных точках Москвы, в Санкт-Петербурге, Рязани, Вологде, Петропавловск-Камчатске, Твери и даже в немецком городе Хейдельберг. В каждом из них вас ожидает узнаваемый интерьер, подборка интересной одежды и аксессуаров от лучших брендов и, конечно же, сотрудники, готовые помочь вам в любом вопросе. Онлайн-магазин 21Shop позволит приобрести любые вещи не выходя из дома, вне зависимости от того, в какой части света вы находитесь. На выбор представлено множество удобных вариантов оплаты и доставки. Ассортимент магазина представлен не только известными зарубежными марками, признанными во всём мире, но и брендами российского производства, которые с каждым годом поднимают планку качества и готовы к конкуренции с западными брендами.",,
220 вольт,Россия,Ремонт и строительство,Средний,2003.0,,6 и 236 франчайзинговых,Москва; Санкт-Петербург; Альметьевск; Анапа; Архангельск; Астрахань; Балаково; Барнаул; Белгород; Березники; Великие Луки; Великий Новгород; Владимир; Вологда; Екатеринбург; Зеленогорск; Иваново; Ижевск; Иркутск; Казань; Калуга; Красногорск; Магнитогорск; Мурманск; Набережные Челны; Нефтекамск; Нижний Новгород; Новосибирск; Новый Уренгой; Обнинск; Орехово-Зуево; Пермь; Подольск; Псков; Пятигорск; Ростов-на-Дону; Рязань; Салават; Самара; Саратов; Северодвинск; Сергиев Посад; Старый Оскол; Стерлитамак; Сыктывкар; Тобольск; Томск; Тула; Тюмень; Улан-Удэ; Уссурийск; Уфа; Челябинск; Череповец; Чита; Якутск; Ярославль,"Компания «220 Вольт» основана в 2002 году. Федеральная сеть насчитывает более 210 магазинов и успешно развивается, используя франчайзинг. Своим партнерам компания предоставляет проверенные технологии и эффективные стандарты работы бизнеса.  Сегодня «220 Вольт» это: •       компания № 1 в России в сфере розничной торговли: электро- и бензоинструмент; садовая и измерительная техника; силовое оборудование и расходные материалы; •       свыше 210 магазинов в 94 городах России (на 01 июля 2014 г.); •       более 90 000 позиций в ассортименте; •       ведущий Интернет-магазин по данному профилю в России; •       единый формат и концепция дизайна и мерчандайзинга во всех магазинах.",,
24 Градуса,Россия,Вино и алкогольные напитки,Средний,2013.0,6,6 и 5 франчайзинговых,Владимир; Омск; Севастополь; Тольятти,"Первый магазин ""24 Градуса"" был открыт в 2013 году в городе Владимир. До 2016 года компанией было открыто 6 собственных точек. С 2016 года целью было определено открытие 100 магазинов по России и началось создания франчайзинговых стандартов, алгоритмов открытия и необходимых инструкций. В качестве пилотного магазина, был запущен первый партнерский магазин в г. Омск. После отслеживания показателей в течение года и допаковки продукта было принято решение о официальном запуске в майе 2017.  Цель до конца 2017 года открытие 30 магазинов и до конца 2018г еще 70.",,
2scoop,Россия,Спорт,Средний,2014.0,,17,Москва; Белгород; Брянск; Великие Луки; Владимир; Калуга; Курск; Орел; Смоленск; Тверь; Тула,"«2scoop» — молодая, динамично развивающаяся федеральная сеть магазинов спортивного питания, одежды и аксессуаров для фитнеса. В магазинах каждый сможет найти что-нибудь для себя, так как представлены продукции разного уровня цены и качества. Команда «2scoop» состоит из профессионалов и фанатов своего дела, поможет сделать вам правильный выбор. Мы предлагаем Вам лучшую продукцию мировых производителей спортивного питания, завоевавшую признание среди потребителей и прошедшую сертификацию в России. Работа только с официальными и эксклюзивными дистрибьюторами мировых брендов. Несмотря на относительно молодой возраст компании, мы активно участвуем в популяризации спорта и здорового образа жизни, участвуя во множестве региональных выставках, мероприятиях и соревнованиях. Помогаем культуристам в достижении поставленныхa ими целях. В магазинах проводятся еженедельные дегустации, акции и розыгрыши. Концепция сети заключается в том, чтобы наши покупатели получали лучшую, качественную продукцию спортивного питания по доступным ценам. В 2014 открыт первый магазин в ТРЦ «Макси» в г. Смоленске. Сеть развивает магазины под торговыми марками SPORTPIT67 и 2Scoop, последняя зарегистрирована в качестве торгового знака. На данный момент открыто 17 магазинов. Всегда открыты для общения с Вами и готовы помочь Вам правильно подобрать спортивное питание. Мы всегда ценим время наших клиентов и учитываем это при осуществлении доставки спортивного питания по Вашему городу и по всей России. Мы рады, что именно наши магазины привлекли Ваше внимание, и надеемся, что Вы останетесь довольны нашим ассортиментом и сервисом.",10.0,
